AlphaBot Top 100 ETF Signals,
,
TICKER,STOCK NAME
TSLL,Direxion Daily TSLA Bull 2X Shares
SOXS,Direxion Daily Semiconductor Bear 3x Shares
SOXL,Direxion Daily Semiconductor Bull 3x Shares
SQQQ,ProShares UltraPro Short QQQ
TSLZ,T-Rex 2X Inverse Tesla Daily Target ETF
TQQQ,ProShares UltraPro QQQ
SPY,SPDR S&P 500 ETF Trust
SPXS,Direxion Daily S&P 500 Bear 3X Shares
MSTU,T-Rex 2X Long MSTR Daily Target ETF
IBIT,iShares Bitcoin Trust ETF
QQQ,Invesco QQQ Trust Series I
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF
TLT,iShares 20+ Year Treasury Bond ETF
AMDL,GraniteShares 2x Long AMD Daily ETF
XLF,Financial Select Sector SPDR Fund
HYG,iShares iBoxx $ High Yield Corporate Bond ETF
IWM,iShares Russell 2000 ETF
FXI,iShares China Large-Cap ETF
PSLV,The Sprott Physical Silver Trust
TSLQ,Tradr 2X Short TSLA Daily ETF
NVDQ,T-Rex 2X Inverse NVIDIA Daily Target ETF
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF
EWZ,iShares MSCI Brazil ETF
ETHA,iShares Ethereum Trust ETF
EEM,iShares MSCI Emerging Markets ETF
FAZ,Direxion Daily Financial Bear 3X Shares
TSLY,YieldMax TSLA Option Income Strategy ETF
TSLS,Direxion Daily TSLA Bear 1X Shares
GDX,VanEck Gold Miners ETF
SLV,iShares Silver Trust
TZA,Direxion Daily Small Cap Bear 3X Shares
SPXU,ProShares UltraPro Short S&P500
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF
XLE,Energy Select Sector SPDR Fund
UVXY,ProShares Ultra VIX Short-Term Futures ETF
KWEB,KraneShares CSI China Internet ETF
ULTY,YieldMax Ultra Option Income Strategy ETF
SCHD,Schwab US Dividend Equity ETF
NVDL,GraniteShares 2x Long NVDA Daily ETF
TNA,Direxion Daily Small Cap Bull 3X Shares
LABD,Direxion Daily S&P Biotech Bear 3x Shares
XLP,Consumer Staples Select Sector SPDR Fund
EFA,iShares MSCI EAFE ETF
XLV,Health Care Select Sector SPDR Fund
KRE,SPDR S&P Regional Banking ETF
NVDD,Direxion Daily NVDA Bear 1X Shares
VEA,Vanguard FTSE Developed Markets ETF
SDS,ProShares UltraShort S&P500
XLU,Utilities Select Sector SPDR Fund
SGOV,iShares 0-3 Month Treasury Bond ETF
MSTY,YieldMax MSTR Option Income Strategy ETF
USHY,iShares Broad USD High Yield Corporate Bond ETF
ARKK,ARK Innovation ETF
UVIX,2x Long VIX Futures ETF
XBI,SPDR S&P Biotech ETF
RWM,ProShares Short Russell2000
SCHX,Schwab U.S. Large-Cap ETF
XLI,Industrial Select Sector SPDR Fund
IEFA,iShares Core MSCI EAFE ETF
IEMG,iShares Core MSCI Emerging Markets ETF
RSP,Invesco S&P 500® Equal Weight ETF
CONI,GraniteShares 2x Short COIN Daily ETF
GLD,SPDR Gold Shares
GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs
NVD,GraniteShares 2x Short NVDA Daily ETF
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF
PTIR,GraniteShares 2x Long PLTR Daily ETF
CONY,YieldMax COIN Option Income Strategy ETF
GOVT,iShares U.S. Treasury Bond ETF
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares
VWO,Vanguard FTSE Emerging Markets ETF
SPDN,Direxion Daily S&P 500 Bear 1x Shares
AGG,iShares Core U.S. Aggregate Bond ETF
SPLG,SPDR Portfolio S&P 500 ETF
BKLN,Invesco Senior Loan ETF
VCIT,Vanguard Intermediate-Term Corporate Bond ETF
USO,United States Oil Fund LP
SCHG,Schwab U.S. Large-Cap Growth ETF
BITX,2x Bitcoin Strategy ETF
SCHF,Schwab International Equity ETF
IEF,iShares 7-10 Year Treasury Bond ETF
BITO,ProShares Bitcoin ETF
CONL,GraniteShares 2x Long COIN Daily ETF
IAU,iShares Gold Trust
VTEB,Vanguard Tax-Exempt Bond ETF
UNG,United States Natural Gas Fund LP
TSLG,Leverage Shares 2X Long TSLA Daily ETF
SMH,VanEck Semiconductor ETF
IJH,iShares Core S&P Mid-Cap ETF
PLTD,Direxion Daily PLTR Bear 1X Shares
MSTX,Defiance Daily Target 2x Long MSTR ETF
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF
FNGU,MicroSectors FANG+ 3 Leveraged ETNs
INDA,iShares MSCI India ETF
SCHH,Schwab US REIT ETF
BND,Vanguard Total Bond Market ETF
TSLT,T-REX 2X Long Tesla Daily Target ETF
VOO,Vanguard S&P 500 ETF
PGX,Invesco Preferred ETF
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
