"TOP 100 U.S. STOCK SIGNALS,,,,"
",,,,"
"SYMBOL,STOCK NAME"
"SOFI,SOFI TECHNOLOGIES ,,,"
"NVDA,NVIDIA CORPORTATION,,,"
"LCID,LUCID GROUP,,,"
"TSLA,TESLA,,,"
"F,FORD MOTOR COMPANY,,,"
"AAL,AMERICAN AIRLINES GROUP,,,"
"VALE,VALE S.A.,,,"
"FCX,FREEPORT-MCMORAN,,,"
"NVO,NOVO NORDISK,,,"
"BBD,BANCO BRADESCO,,,"
"QS,QUANTUMSCAPE,,,"
"AMD,ADVANCED MICRO DEVICES,,,"
"MARA,MARA HOLDINGS,,,"
"INTC,INTEL CORPORATION,,,"
"HIMS,HIM AND HERS HEALTH,,,"
"SMCI,SUPER MICRO COMPUTER,,,"
"WBD,WARNER BROS DISCOVERY,,,"
"BTG,B2GOLD,,,"
"KEY,KEYCORP,,,"
"PSLV,SPROTT PHYSICAL SILVER,,,"
"SBUX,STARBUCKS CORPORATION,,,"
"ANEV,AMBEV,,,"
"PTON,PELOTON,,,"
"MRVL,MARVELL TECHNOLOGY,,,"
"PANW,PALO ALTO TECH,,,"
"NIO,NIO,,,"
"NU,NU HOLDINGS,,,"
"GRAB,GRAB HOLDINGS LIMITED,,,"
"HBAN,HUNTINGTON BANCSHARE,,,"
"RIVN,RIVIAN AUTOMOTIVE,,,"
"PLTR,PALINTIR TECHNOLOGIES,,,"
"PFE,PFIZER INC,,,"
"QBTS,D-WAVE QUANTUM,,,"
"ITUB,ITAU UNIBANCO HOLDING,,,"
"AMCR,AMCOR PLC,,,"
"PARA,PARAMOUNT GLOBAL,,,"
"BAC,BANK OF AMERICA,,,"
"SNAP,SNAP,,,"
"HOOD,ROBINHOOD MARKETS,,,"
"TSLA,AT&T,,,"
"AAPL,APPLE ,,,"
"CMCSA,COMCAST,,,"
"VFC,VF CORPORATION,,,"
"CMG,CHIPOTLE MEXICAN GRILL,,,"
"PCG,PG&E CORPORATION,,,"
"KGC,KINROSS GOLD CORPORATION,,,"
"JOBY,JOBY AVIATION,,,"
"GOOGL,ALPHABET INC,,,"
"CCL,CARNIVAL CORPORATION,,,"
"RIG,TRANSOCEAN LTD,,,"
"TEVA,TEVA PHARMACEUTICAL,,,"
"PBR,PETROLEO BRASILEIRO,,,"
"AMZN,AMAZON.COM,,,"
"PATH,UIPATH,,,"
"STLA,STELLANTIS NV,,,"
"AGNC,AGNC INVESTMENT CORP,,,"
"HAL,HALLIBURTON COMPANY,,,"
"UNH,UNITEDHEALTH GROUP,,,"
"CLF,CLEVELAND CLIFFS,,,"
"MDLZ,MONDELEZ,,,"
"OKLO,OKLO INC,,,"
"RGTI,RIGETTI COMPUTING,,,"
"ACHR,ARCHER AVIATION,,,"
"UPS,UNITED PARCEL SERVICE,,,"
"MO,ALTRIA GROUP,,,"
"APLD,APPLIED DIGITAL CORPORATION,,,"
"RIOT,RIOT PLATFORM INC,,,"
"RXRX,RECURSION PHARMACEUTICALS,,,"
"TER,TERADYNE INC,,,"
"CVE,CENOVUS ENERGY,,,"
"CNC,CENTENE CORPORATON,,,"
"PYPL,PAYPAL HOLDINGS,,,"
"SOUN,SOUND HOUND AI,,,"
"CPNG,""COUPANG, INC"",,,"
"DKNG,DRAFTKINGS,,,"
"LYFT,LYFT,,,"
"HL,HECLA MINING COMPANY,,,"
"UMC,UNITED MICROELECTRONICS,,,"
"ERIC,TELEFONAKTIEBOLAGET,,,"
"KMI,KINDER MORGAN,,,"
"RF,REGIONS FINANCIAL ,,,"
"VRT,VERTIV HOLDINGS,,,"
"SLB,SCHLUMBERGER LIMITED,,,"
"OSCR,OSCAR HEALTH,,,"
"RKT,ROCKET COMPANIES,,,"
"GOOGL,ALPHABET INC,,,"
"NOK,NOKIA OYJ,,,"
"UBER,UBER TECHNOLOGIES,,,"
"AG ,FIRST MAJESTIC SILVER,,,"
"MSFT,MICROSOFT CORPORATION,,,"
"IONQ,IONQ,,,"
"SBSW,SIBANYE STILLWATER,,,"
"DOW,DOW INC,,,"
"AEO,AMERICAN EAGLE OUTFITTERS,,,"
"BE,BLOOM ENERGY CORPORATION,,,"
"HST,HOST HOTELS AND RESORTS,,,"
"TAK,TAKEDA PHARMACEUTICAL,,,"
"CLSK,CLEANSPARK,,,"
"CNH,CNH INDUSTRIAL,,,"
"RKLB,ROCKET LAB CORPORATION,,,"
